Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
"1502050806","1499946511","MODI","TRAD","2025-05-05T08:53:26Z","true","EQ","","N","","2025-05-02T16:51:00Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","13,000","","EUR","","","","85","","","","SHAS","","","","","","","","","","","","","","","","","","","","","154.759364","ACCY","0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","PV.DE","","RIC","","","","OPET","","","false","","","","","","","","","QZN825F45NQV","NA/Swaps Sgle Stk Tot Rtn","Pfeiffer Vacuum Technology AGInhaber-Aktien o.N."
"1502050807","1499942933","MODI","TRAD","2025-05-05T08:53:33Z","true","EQ","","N","","2025-05-02T16:50:54Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","3,000","","EUR","","","","280","","","","SHAS","","","","","","","","","","","","","","","","","","","","","10.6761475","ACCY","0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","NEA.MC","","RIC","","","","OPET","","","false","","","","","","","","","QZT29SMP0373","NA/Swaps Sgle Stk Tot Rtn","No name obtainable"
"1502050808","1499999526","MODI","TRAD","2025-05-05T08:53:40Z","true","EQ","","N","","2025-05-02T18:48:03Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","160,000","","EUR","","","","100","","","","SHAS","","","","","","","","","","","","","","","","","","","","","1,546.95744","ACCY","0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","RHMG.DE","","RIC","","","","OPET","","","false","","","","","","","","","QZRXR15VNCW0","NA/Swaps Sgle Stk Tot Rtn","Rheinmetall AGInhaber-Aktien o.N."
"1502050809","","NEWT","TRAD","2025-05-05T08:53:00Z","","EQ","","N","","2025-05-05T08:49:32Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","6,900","","EUR","","","","640","","","","SHAS","","","","","","","","","","","","","","","","","","","","","10.7980816022","ACCY","0.002","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","RECT.BR","","RIC","","","","OPET","","","false","","","","","","","","","QZW0PX4RRKZM","NA/Swaps Sgle Stk Tot Rtn","Act"
"1502050810","1502050765","TERM","ETRM","2025-05-05T08:53:00Z","","EQ","","N","","2025-05-05T08:49:32Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","243.2674","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","SAF.PA","","RIC","","","","OPET","","","false","","","","","","","","","QZ66ZWF51ZXH","NA/Swaps Sgle Stk Tot Rtn","PROV.ECHANGE"
"1502050811","1499910724","MODI","TRAD","2025-05-05T08:53:14Z","true","EQ","","N","","2025-05-02T16:46:11Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","11,000","","EUR","","","","11,000","","","","SHAS","","","","","","","","","","","","","","","","","","","","","1.00533231792","ACCY","0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","SEQUA.BR","","RIC","","","","OPET","","","false","","","","","","","","","QZWG2T3M6XPH","NA/Swaps Sgle Stk Tot Rtn","Shs"
"1502050812","1502050787","TERM","ETRM","2025-05-05T08:53:40Z","","EQ","","N","","2025-05-05T08:49:50Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","96.24413","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","PERP.PA","","RIC","","","","OPET","","","false","","","","","","","","","QZDMBJ214JBS","NA/Swaps Sgle Stk Tot Rtn","ORD."
"1502050813","1502050776","TERM","ETRM","2025-05-05T08:53:33Z","","EQ","","N","","2025-05-05T08:49:46Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","4.069","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","KPN.AS","","RIC","","","","OPET","","","false","","","","","","","","","QZR31C46S10R","NA/Swaps Sgle Stk Tot Rtn","KPN KON"
"1502050814","1502050769","TERM","ETRM","2025-05-05T08:53:46Z","","EQ","","N","","2025-05-05T08:49:54Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","6.98","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","BITTI.HE","","RIC","","","","OPET","","","false","","","","","","","","","QZ3BF4VQQ5WK","NA/Swaps Sgle Stk Tot Rtn","BITTIUM OYJ"
"1502050815","1499923099","MODI","TRAD","2025-05-05T08:53:26Z","true","EQ","","N","","2025-05-02T16:51:07Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","690,000","","EUR","","","","19,000","","","","SHAS","","","","","","","","","","","","","","","","","","","","","36.9735756","ACCY","0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","PSHG_p.DE","","RIC","","","","OPET","","","false","","","","","","","","","QZBD16KCLXJD","NA/Swaps Sgle Stk Tot Rtn","Porsche Automobil Holding SEInhaber-Vorzugsaktien o.St.o.N"
"1502050816","1499937967","TERM","ETRM","2025-05-05T08:53:09Z","","EQ","","N","","2025-05-02T16:57:16Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","351.21892","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","UNH.DE","","RIC","","","","OPET","","","false","","","","","","","","","QZF6KNFZCFMF","NA/Swaps Sgle Stk Tot Rtn","COM"
"1502050817","1502050780","TERM","ETRM","2025-05-05T08:53:56Z","","EQ","","N","","2025-05-05T08:49:57Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","27.08","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","VALMT.HE","","RIC","","","","OPET","","","false","","","","","","","","","QZ3DQNM937L6","NA/Swaps Sgle Stk Tot Rtn","VALMET"
"1502050818","1499910723","MODI","TRAD","2025-05-05T08:53:40Z","true","EQ","","N","","2025-05-02T16:46:42Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","330,000","","EUR","","","","72,000","","","","SHAS","","","","","","","","","","","","","","","","","","","","","4.57431977366","ACCY","0.001","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","TEF.MC","","RIC","","","","OPET","","","false","","","","","","","","","QZC02B4H33JG","NA/Swaps Sgle Stk Tot Rtn","TELEFONICA, S.A., ACCIONES POR DESDOBLAMIENTO"
